item,subject,semantic,frequency,phonology,simdrop,troyer,participant
aardvark,50003,0.0001,2.606381365,0.0001,2,2,2.0
ant,50003,0.3238607376199685,2.438,0.0001,0,1,0.0
cat,50003,0.2832825318662417,3.529,0.3333333333333333,1,1,0.0
dog,50003,0.7609456880598081,3.993,0.0001,0,0,0.0
mouse,50003,0.3014373800643739,2.989,0.0001,0,1,0.0
horse,50003,0.1403297812857433,3.676,0.25,1,1,0.0
lizard,50003,0.2765379171318121,2.394,0.0001,0,1,0.0
crocodile,50003,0.6059771546484665,2.064,0.125,0,0,0.0
fox,50003,0.4801506251032383,3.043,0.25,1,1,0.0
wolf,50003,0.5700000386263403,3.015,0.0001,0,0,0.0
coyote,50003,0.6286033026127449,2.269,0.0001,0,0,0.0
panther,50003,0.5882126876347242,2.121,0.0001,1,1,0.0
leopard,50003,0.6007755197913899,2.442,0.0001,0,0,0.0
lion,50003,0.4526938311117884,2.894,0.1999999999999999,1,0,1.0
tiger,50003,0.5121040691983272,2.976,0.25,0,0,0.0
bear,50003,0.4142451115361343,3.467,0.0001,0,1,0.0
koala,50003,0.2840560016422608,1.505,0.0001,1,1,1.0
kangaroo,50003,0.4943212601533487,2.075,0.1666666666666666,0,0,0.0
dingo,50003,0.4703376664614671,1.826,0.3333333333333333,0,0,0.0
elephant,50003,0.3794106491630133,2.764,0.0001,1,1,0.0
zebra,50003,0.5278517485338206,2.111,0.1428571428571429,0,0,0.0
antelope,50003,0.5275653407029668,1.708,0.0001,0,0,0.0
gazelle,50003,0.5135331826007076,1.799,0.1428571428571429,0,0,0.0
giraffe,50003,0.469863297597678,1.887,0.0001,0,0,0.0
whale,50003,0.4334519496112381,2.76,0.0001,1,1,1.0
fish,50003,0.5517762083942779,3.629,0.0001,0,0,0.0
dolphin,50003,0.5913070980884776,2.152,0.1666666666666666,0,0,0.0
shark,50003,0.6842623911502794,2.884,0.1666666666666666,0,0,0.0
polar_bear,50003,0.3996429151620941,3.822886948,0.0001,1,1,1.0
penguin,50003,0.5773203570239669,2.17,0.1428571428571429,0,1,0.0
lemur,50003,0.6019348932714844,1.0,0.0001,0,1,1.0
gorilla,50003,0.6011114684597653,2.453,0.0001,1,0,0.0
chimpanzee,50003,0.6095555546288506,1.799,0.0001,0,0,0.0
orangutan,50003,0.5909653415337733,1.477,0.0001,0,0,0.0
human,50003,0.3005164423301661,3.804,0.25,0,0,0.0
clam,50003,0.1201095870202285,2.303,0.1666666666666666,1,1,1.0
shrimp,50003,0.5718865033888622,2.648,0.1999999999999999,0,1,0.0
lobster,50003,0.6954566543158798,2.574,0.0001,0,1,0.0
crab,50003,0.759064614897691,2.548,0.0001,0,0,0.0
snail,50003,0.3986948117533391,1.959,0.0001,1,0,0.0
snake,50003,0.4238700599358402,3.057,0.75,0,1,0.0
manta_ray,50003,0.4033674477444088,2.606381365,0.1428571428571429,1,1,0.0
gecko,50003,0.4116919980296405,1.301,0.0001,0,1,0.0
swan,50003,0.2024105190541132,2.543,0.0001,1,1,0.0
duck,50003,0.4744459566191927,3.102,0.0001,0,0,0.0
robin,50003,0.3865154033249141,3.105,0.0001,1,0,0.0
woodpecker,50003,0.5506765564366781,1.708,0.0001,0,0,1.0
eagle,50003,0.4331486699596596,2.769,0.0001,0,0,0.0
hawk,50003,0.2641978785274126,2.814,0.0001,1,0,0.0
falcon,50003,0.455092584774992,2.23,0.1666666666666666,0,0,0.0
hippo,50003,0.4021512298978069,1.863,0.0001,0,1,0.0
weasel,50003,0.2207742155617618,2.4,0.0001,1,1,1.0
otter,50003,0.3299764419857185,1.845,0.0001,0,0,0.0
beaver,50003,0.5638260549183811,2.393,0.25,0,0,0.0
rat,50003,0.4470762591170554,3.221,0.0001,1,0,0.0
squirrel,50003,0.513412444598116,2.447,0.0001,2,2,0.0
chipmunk,50003,0.6189104024806276,1.633,0.0001,2,2,0.0
cat,50004,0.0001,3.529,0.0001,2,2,2.0
lion,50004,0.3997731754997673,2.894,0.0001,0,0,0.0
dog,50004,0.3857012859178299,3.993,0.0001,0,1,1.0
penguin,50004,0.3570026510263218,2.17,0.1428571428571429,1,1,1.0
rat,50004,0.3654230854712654,3.221,0.0001,0,1,1.0
snail,50004,0.4765531447902804,1.959,0.0001,0,1,1.0
fish,50004,0.4015319986229528,3.629,0.0001,1,0,1.0
shark,50004,0.527830852780369,2.884,0.0001,0,0,0.0
manatee,50004,0.5263686229955947,1.041,0.0001,1,0,0.0
porpoise,50004,0.5319497633128257,1.279,0.0001,0,0,0.0
dolphin,50004,0.6555205690213266,2.152,0.1666666666666666,0,0,0.0
anemone,50004,0.4269001174728515,1.146,0.1666666666666666,0,0,0.0
